,ID,RGB
0,0,0 0 0
1,1,6 108 153
2,2,191 105 112
3,3,72 121 89
4,4,64 225 190
5,5,59 190 206
6,6,36 13 81
7,7,195 176 115
8,8,27 171 161
9,9,180 169 135
10,10,199 26 29
11,11,239 16 102
12,12,146 107 242
13,13,23 198 156
14,14,160 89 49
15,15,116 218 68
16,16,9 236 11
17,17,8 30 196
18,18,28 67 121
19,19,65 53 0
20,20,70 52 146
21,21,143 149 226
22,22,171 126 151
23,23,7 39 194
24,24,161 120 205
25,25,60 51 212
26,26,208 80 211
27,27,188 135 189
28,28,205 72 54
29,29,157 252 103
30,30,123 21 124
31,31,69 132 19
32,32,132 237 195
33,33,175 253 94
34,34,87 251 182
35,35,242 162 90
36,36,1 29 199
37,37,229 12 254
38,38,244 196 35
39,39,49 163 220
40,40,214 254 86
41,41,129 3 152
42,42,106 31 92
43,43,90 229 207
44,44,48 75 125
45,45,74 55 98
46,46,238 129 126
47,47,109 153 222
48,48,34 152 85
49,49,31 69 173
50,50,125 128 37
51,51,33 19 58
52,52,119 57 134
53,53,115 124 218
54,54,200 0 120
55,55,92 131 225
56,56,16 90 246
57,57,241 155 51
58,58,155 97 202
59,59,182 145 184
60,60,44 232 96
61,61,133 244 133
62,62,29 191 180
63,63,192 222 1
64,64,104 242 99
65,65,219 168 91
66,66,217 54 65
67,67,130 66 148
68,68,204 102 203
69,69,75 78 216
70,70,250 20 234
71,71,24 206 109
72,72,17 194 164
73,73,236 23 157
74,74,88 114 158
75,75,110 22 245
76,76,35 17 67
77,77,93 213 181
78,78,42 179 170
79,79,148 187 52
80,80,111 200 247
81,81,174 62 25
82,82,240 25 100
83,83,144 195 191
84,84,67 36 252
85,85,149 77 241
86,86,141 33 237
87,87,85 230 119
88,88,108 34 28
89,89,254 98 78
90,90,30 161 114
91,91,243 50 75
92,92,253 226 66
93,93,76 104 46
94,94,216 234 8
95,95,102 241 15
96,96,71 14 93
97,97,193 255 192
98,98,164 41 253
99,99,120 175 24
100,100,231 243 185
101,101,97 233 169
102,102,145 215 243
103,103,21 137 72
104,104,101 113 160
105,105,13 92 214
106,106,147 140 167
107,107,181 109 101
108,108,126 118 53
109,109,32 177 3
110,110,99 63 40
111,111,153 139 186
112,112,100 207 88
113,113,227 146 71
114,114,187 38 236
115,115,215 4 215
116,116,66 211 18
117,117,134 49 113
118,118,63 42 47
119,119,127 103 219
120,120,137 240 57
121,121,211 133 227
122,122,201 71 145
123,123,183 173 217
124,124,113 40 250
125,125,68 125 208
126,126,249 186 224
127,127,46 148 69
128,128,20 85 239
129,129,224 116 108
130,130,26 214 56
131,131,43 147 179
132,132,172 188 48
133,133,47 83 221
134,134,218 166 155
135,135,189 217 62
136,136,122 180 198
137,137,169 144 201
138,138,14 2 132
139,139,114 189 128
140,140,112 227 163
141,141,177 157 45
142,142,142 86 64
143,143,163 193 118
144,144,79 32 14
145,145,170 45 200
146,146,2 81 74
147,147,212 37 59
148,148,225 35 73
149,149,39 224 95
150,150,220 170 84
151,151,173 58 159
152,152,237 91 17
153,153,84 95 31
154,154,248 201 34
155,155,209 73 63
156,156,107 235 129
157,157,40 115 231
158,158,95 74 36
159,159,154 228 238
160,160,54 212 61
161,161,165 94 13
162,162,0 174 141
163,163,255 167 140
164,164,91 93 117
165,165,186 10 183
166,166,61 28 165
167,167,194 238 144
168,168,41 158 12
169,169,234 110 76
170,170,121 9 150
171,171,246 1 142
172,172,198 136 230
173,173,233 60 5
174,174,80 250 232
175,175,56 112 143
176,176,156 70 187
177,177,62 185 2
178,178,226 223 138
179,179,222 183 122
180,180,3 245 166
181,181,140 6 175
182,182,210 59 240
183,183,10 44 248
184,184,52 82 83
185,185,167 248 223
186,186,150 15 87
187,187,117 178 111
188,188,22 84 197
189,189,124 208 235
190,190,45 76 9
191,191,50 24 176
192,192,251 159 154
193,193,207 111 149
194,194,15 231 168
195,195,202 247 209
196,196,152 205 80
197,197,213 221 178
198,198,38 8 27
199,199,51 117 244
200,200,190 68 107
201,201,139 199 23
202,202,168 88 171
203,203,58 202 136
204,204,86 46 6
205,205,176 127 105
206,206,197 249 174
207,207,138 172 172
208,208,81 142 228
209,209,185 204 7
210,210,247 61 22
211,211,78 100 233
212,212,105 65 127
213,213,158 87 33
214,214,252 156 139
215,215,136 7 42
216,216,179 99 20
217,217,223 150 79
218,218,184 182 131
219,219,37 123 110
220,220,96 138 60
221,221,94 96 210
222,222,18 48 123
223,223,162 197 137
224,224,5 18 188
225,225,151 219 39
226,226,135 143 204
227,227,73 79 249
228,228,178 64 77
229,229,77 246 41
230,230,4 154 16
231,231,19 134 116
232,232,235 122 4
233,233,230 106 177
234,234,12 119 21
235,235,98 5 104
236,236,53 130 50
237,237,25 192 30
238,238,166 165 26
239,239,82 160 10
240,240,131 43 106
241,241,103 216 44
242,242,221 101 255
243,243,196 151 32
244,244,89 220 213
245,245,228 209 70
246,246,83 184 97
247,247,232 239 82
248,248,128 164 251
249,249,245 11 193
250,250,159 27 38
251,251,203 141 229
252,252,55 56 130
253,253,11 210 147
254,254,118 203 162
255,255,255 255 255
257,257,36 13 81
